postal_code,category,number_licensed
M1T 1A3,EATING ESTABLISHMENT,23
M1T 1A3,PAYDAY LOAN,1
M1T 1A3,PERSONAL SERVICES SETTINGS,3
M1T 1A3,RETAIL STORE (FOOD),13
M1T 1A3,SECOND HAND SHOP,2
M1T 1A3,TEMPORARY SIGN - MOBILE,52
M1T 1A4,EATING ESTABLISHMENT,27
M1T 1A4,LAUNDRY,1
M1T 1A4,PAYDAY LOAN,1
M1T 1A4,PERSONAL SERVICES SETTINGS,2
M1T 1A4,PRECIOUS METAL SHOP,1
M1T 1A4,RETAIL STORE (FOOD),6
M1T 1A6,CLOTHING DROP BOX LOCATION PERMIT,2
M1T 1G5,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 1G5,COMMERCIAL PARKING LOT,1
M1T 1G6,CLOTHING DROP BOX LOCATION PERMIT,2
M1T 1H6,DRIVE-SELF RENTAL OWNER,1
M1T 1H6,EATING ESTABLISHMENT,4
M1T 1H6,PERSONAL SERVICES SETTINGS,4
M1T 1H6,RETAIL STORE (FOOD),3
M1T 1J2,BUILDING RENOVATOR,1
M1T 1J3,BUILDING RENOVATOR,1
M1T 1M1,TAXICAB OWNER,3
M1T 1M3,TAXICAB OWNER,2
M1T 1M9,PLUMBING CONTRACTOR,2
M1T 1M9,TAXICAB OWNER,2
M1T 1P3,BUILDING RENOVATOR,1
M1T 1R5,PLUMBING CONTRACTOR,1
M1T 1R6,PLUMBING CONTRACTOR,1
M1T 1R8,LIMOUSINE OWNER,3
M1T 1S7,TOW TRUCK OWNER,1
M1T 1T5,BUILDING RENOVATOR,2
M1T 1V5,TAXICAB OWNER,2
M1T 1V6,BODY RUB PARLOUR,1
M1T 1V6,DRIVE-SELF RENTAL OWNER,1
M1T 1V6,DRIVING SCHOOL OPERATOR (B),2
M1T 1V6,HOLISTIC CENTRE,2
M1T 1V6,PERSONAL SERVICES SETTINGS,6
M1T 1V6,PRECIOUS METAL SHOP,1
M1T 1V6,RETAIL STORE (FOOD),2
M1T 1V7,EATING ESTABLISHMENT,1
M1T 1V7,LAUNDRY,1
M1T 1V7,RETAIL STORE (FOOD),13
M1T 1W3,TAXICAB OWNER,1
M1T 1W5,HEATING CONTRACTOR,1
M1T 1X1,BUILDING RENOVATOR,1
M1T 1X2,PLUMBING CONTRACTOR,1
M1T 1X3,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
M1T 1Y1,BUILDING RENOVATOR,2
M1T 1Z9,BUILDING RENOVATOR,1
M1T 2A6,MOBILE VENDING (FOOD TRUCK),2
M1T 2A6,MOTORIZED REFRESHMENT VEHICLE OWNER,2
M1T 2E1,MOBILE VENDING (FOOD TRUCK),1
M1T 2E1,MOTORIZED REFRESHMENT VEHICLE OWNER,1
M1T 2G5,BUILDING RENOVATOR,1
M1T 2G5,TAXICAB OWNER,1
M1T 2H4,BUILDING RENOVATOR,2
M1T 2J6,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,2
M1T 2K3,PLUMBING CONTRACTOR,1
M1T 2L2,PLUMBING CONTRACTOR,1
M1T 2L3,BUILDING RENOVATOR,1
M1T 2M1,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 2M2,EATING ESTABLISHMENT,9
M1T 2M2,LAUNDRY,3
M1T 2M2,PERSONAL SERVICES SETTINGS,3
M1T 2M2,RETAIL STORE (FOOD),18
M1T 2M3,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 2M4,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 2M5,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 2M5,EATING ESTABLISHMENT,32
M1T 2M5,HOLISTIC CENTRE,7
M1T 2M5,LAUNDRY,6
M1T 2M5,PERSONAL SERVICES SETTINGS,12
M1T 2M5,RETAIL STORE (FOOD),29
M1T 2M5,TEMPORARY SIGN - MOBILE,1
M1T 2M6,EATING ESTABLISHMENT,2
M1T 2M8,BUILDING RENOVATOR,1
M1T 2R3,BUILDING RENOVATOR,1
M1T 2T9,EATING ESTABLISHMENT,6
M1T 2T9,HOLISTIC CENTRE,2
M1T 2T9,LAUNDRY,9
M1T 2T9,PERSONAL SERVICES SETTINGS,1
M1T 2T9,RETAIL STORE (FOOD),13
M1T 2X2,HOLISTIC CENTRE,3
M1T 2Y1,TAXICAB OWNER,1
M1T 2Z4,BUILDING RENOVATOR,1
M1T 2Z7,EATING ESTABLISHMENT,6
M1T 2Z7,RETAIL STORE (FOOD),9
M1T 3C2,BUILDING RENOVATOR,1
M1T 3C6,BUILDING RENOVATOR,2
M1T 3G2,COMMERCIAL PARKING LOT,3
M1T 3G2,DRIVING SCHOOL OPERATOR (B),1
M1T 3G2,EATING ESTABLISHMENT,3
M1T 3G2,PERSONAL SERVICES SETTINGS,2
M1T 3G2,RETAIL STORE (FOOD),4
M1T 3G3,EATING ESTABLISHMENT,1
M1T 3G3,PUBLIC GARAGE,2
M1T 3G5,DRIVE-SELF RENTAL OWNER,1
M1T 3G5,PERSONAL SERVICES SETTINGS,3
M1T 3G8,DRIVE-SELF RENTAL OWNER,2
M1T 3G8,DRIVING SCHOOL OPERATOR (B),2
M1T 3G8,EATING ESTABLISHMENT,4
M1T 3G8,HOLISTIC CENTRE,9
M1T 3G8,PERSONAL SERVICES SETTINGS,1
M1T 3G8,RETAIL STORE (FOOD),1
M1T 3G9,HOLISTIC CENTRE,20
M1T 3G9,PERSONAL SERVICES SETTINGS,14
M1T 3G9,RETAIL STORE (FOOD),1
M1T 3H1,BUILDING RENOVATOR,2
M1T 3H1,RETAIL STORE (FOOD),4
M1T 3H1,TEMPORARY SIGN - MOBILE,3
M1T 3H3,HEATING CONTRACTOR,1
M1T 3H8,EATING ESTABLISHMENT,3
M1T 3H8,PERSONAL SERVICES SETTINGS,4
M1T 3H8,RETAIL STORE (FOOD),12
M1T 3J2,EATING ESTABLISHMENT,2
M1T 3J2,HOLISTIC CENTRE,3
M1T 3J2,PERSONAL SERVICES SETTINGS,5
M1T 3J2,PUBLIC GARAGE,4
M1T 3J2,RETAIL STORE (FOOD),7
M1T 3J2,TEMPORARY SIGN - MOBILE,1
M1T 3J3,PUBLIC GARAGE,4
M1T 3J3,RETAIL STORE (FOOD),4
M1T 3J3,TEMPORARY SIGN - MOBILE,7
M1T 3J4,DRIVING SCHOOL OPERATOR (B),3
M1T 3J4,EATING ESTABLISHMENT,12
M1T 3J4,PERSONAL SERVICES SETTINGS,6
M1T 3J4,PRECIOUS METAL SHOP,2
M1T 3J4,RETAIL STORE (FOOD),3
M1T 3J4,TEMPORARY SIGN - MOBILE,10
M1T 3J5,EATING ESTABLISHMENT,8
M1T 3J5,LAUNDRY,1
M1T 3J5,PAYDAY LOAN,1
M1T 3J5,PERSONAL SERVICES SETTINGS,3
M1T 3J5,RETAIL STORE (FOOD),15
M1T 3J7,DRIVE-SELF RENTAL OWNER,1
M1T 3J7,EATING ESTABLISHMENT,9
M1T 3J7,HOLISTIC CENTRE,2
M1T 3J7,PERSONAL SERVICES SETTINGS,8
M1T 3J7,PRECIOUS METAL SHOP,1
M1T 3J7,RETAIL STORE (FOOD),15
M1T 3J7,SECOND HAND SHOP,1
M1T 3J7,TEMPORARY SIGN - MOBILE,1
M1T 3K1,PLACE OF AMUSEMENT,1
M1T 3K1,TEMPORARY SIGN - MOBILE,1
M1T 3K2,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 3K2,EATING ESTABLISHMENT,8
M1T 3K2,HOLISTIC CENTRE,1
M1T 3K2,LAUNDRY,1
M1T 3K2,PERSONAL SERVICES SETTINGS,1
M1T 3K2,RETAIL STORE (FOOD),10
M1T 3K2,TEMPORARY SIGN - MOBILE,1
M1T 3K3,EATING ESTABLISHMENT,5
M1T 3K3,PUBLIC GARAGE,7
M1T 3K3,TEMPORARY SIGN - MOBILE,3
M1T 3K4,DRIVE-SELF RENTAL OWNER,2
M1T 3K4,DRIVING SCHOOL OPERATOR (B),1
M1T 3K4,DRIVING SCHOOL OPERATOR (V),1
M1T 3K4,EATING ESTABLISHMENT,3
M1T 3K4,LAUNDRY,2
M1T 3K4,PUBLIC GARAGE,18
M1T 3K4,RETAIL STORE (FOOD),6
M1T 3K5,DRIVE-SELF RENTAL OWNER,1
M1T 3K5,DRIVING SCHOOL OPERATOR (B),1
M1T 3K5,EATING ESTABLISHMENT,2
M1T 3K5,HOLISTIC CENTRE,1
M1T 3K5,PERSONAL SERVICES SETTINGS,3
M1T 3K5,PUBLIC GARAGE,12
M1T 3K5,RETAIL STORE (FOOD),5
M1T 3K5,TEMPORARY SIGN - MOBILE,2
M1T 3K5,VAPOUR PRODUCT RETAILER,1
M1T 3K6,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 3K6,EATING ESTABLISHMENT,3
M1T 3K7,EATING ESTABLISHMENT,1
M1T 3K7,PUBLIC GARAGE,7
M1T 3K7,TEMPORARY SIGN - MOBILE,6
M1T 3K8,CLOTHING DROP BOX LOCATION PERMIT,2
M1T 3K8,DRIVING SCHOOL OPERATOR (B),2
M1T 3K8,EATING ESTABLISHMENT,29
M1T 3K8,HOLISTIC CENTRE,2
M1T 3K8,LAUNDRY,12
M1T 3K8,PAWN SHOP,1
M1T 3K8,PAYDAY LOAN,1
M1T 3K8,PERSONAL SERVICES SETTINGS,4
M1T 3K8,PRECIOUS METAL SHOP,1
M1T 3K8,PUBLIC GARAGE,6
M1T 3K8,RETAIL STORE (FOOD),21
M1T 3K8,SECOND HAND SHOP,1
M1T 3K8,TEMPORARY SIGN - MOBILE,22
M1T 3K9,COMMERCIAL PARKING LOT,1
M1T 3K9,PERSONAL SERVICES SETTINGS,1
M1T 3L3,TEMPORARY FIREWORKS VENDOR (OVER 25 KG),2
M1T 3L4,CLOTHING DROP BOX LOCATION PERMIT,4
M1T 3L4,EATING ESTABLISHMENT,31
M1T 3L4,PERSONAL SERVICES SETTINGS,4
M1T 3L4,PET SHOP,1
M1T 3L4,PUBLIC GARAGE,1
M1T 3L4,RETAIL STORE (FOOD),27
M1T 3L4,SECOND HAND SHOP,2
M1T 3L4,TEMPORARY FIREWORKS VENDOR (OVER 25 KG),2
M1T 3L4,TEMPORARY MOBILE FIREWORKS VENDOR,6
M1T 3L4,TEMPORARY SIGN - MOBILE,10
M1T 3L5,DRIVE-SELF RENTAL OWNER,1
M1T 3L5,PUBLIC GARAGE,8
M1T 3L5,RETAIL STORE (FOOD),5
M1T 3L5,TEMPORARY SIGN - MOBILE,3
M1T 3N1,CLOTHING DROP BOX LOCATION PERMIT,2
M1T 3N2,COMMERCIAL PARKING LOT,2
M1T 3N4,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 3N6,MOTORIZED REFRESHMENT VEHICLE OWNER,1
M1T 3N8,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 3N9,PUBLIC GARAGE,1
M1T 3P1,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 3P4,CLOTHING DROP BOX LOCATION PERMIT,1
M1T 3P4,COMMERCIAL PARKING LOT,2
M1T 3T4,CLOTHING DROP BOX LOCATION PERMIT,2
M1T 3T4,EATING ESTABLISHMENT,1
M1T 3T4,RETAIL STORE (FOOD),2
M1T 3T6,EATING ESTABLISHMENT,9
M1T 3T6,LAUNDRY,7
M1T 3T6,PERSONAL SERVICES SETTINGS,3
M1T 3T6,RETAIL STORE (FOOD),3
M1T 3T8,BILLIARD HALL,1
M1T 3T8,DRIVING SCHOOL OPERATOR (B),3
M1T 3T8,EATING ESTABLISHMENT,14
M1T 3T8,HOLISTIC CENTRE,1
M1T 3T8,PERSONAL SERVICES SETTINGS,4
M1T 3T8,RETAIL STORE (FOOD),2
M1T 3T9,DRIVING SCHOOL OPERATOR (B),1
M1T 3T9,PAWN SHOP,2
M1T 3T9,PERSONAL SERVICES SETTINGS,2
M1T 3T9,RETAIL STORE (FOOD),17
M1T 3V3,BUILDING RENOVATOR,1
M1T 3V3,COMMERCIAL PARKING LOT,2
M1T 3V3,EATING ESTABLISHMENT,2
M1T 3V3,RETAIL STORE (FOOD),3
M1T 3W5,RETAIL STORE (FOOD),1
M1V,AUCTIONEER,1
M1V,BUILDING RENOVATOR,40
M1V,DRAIN CONTRACTOR,1
M1V,DRAIN LAYER,1
M1V,DRIVING INSTRUCTOR (V),89
M1V,HAWKER/PEDLAR ON FOOT,5
M1V,LIMOUSINE OWNER,6
M1V,MASTER HEATING INSTALLER,8
M1V,MASTER PLUMBER,8
M1V,MOBILE VENDING (FOOD TRUCK),3
M1V,MOTORIZED REFRESHMENT VEHICLE OWNER,3
M1V,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,5
M1V,PLUMBING CONTRACTOR,4
M1V,TAXICAB OWNER,47
M1V,TORONTO TAXICAB OWNER,1
M1V 0A1,PUBLIC GARAGE,1
M1V 0A1,TEMPORARY SIGN - MOBILE,5
M1V 0A2,PUBLIC GARAGE,8
M1V 0A6,BUILDING RENOVATOR,1
M1V 0A9,PUBLIC GARAGE,1
M1V 0B3,EATING ESTABLISHMENT,9
M1V 0B3,HOLISTIC CENTRE,11
M1V 0B3,PERSONAL SERVICES SETTINGS,4
M1V 0B3,RETAIL STORE (FOOD),1
M1V 0B3,SECOND HAND SHOP,1
M1V 0B4,EATING ESTABLISHMENT,8
M1V 0B4,HOLISTIC CENTRE,10
M1V 0B4,PERSONAL SERVICES SETTINGS,5
M1V 0B4,RETAIL STORE (FOOD),12
M1V 0B7,DRIVE-SELF RENTAL OWNER,1
M1V 0B7,PERSONAL SERVICES SETTINGS,13
M1V 0B7,RETAIL STORE (FOOD),15
M1V 0B8,BUILDING RENOVATOR,3
M1V 0C4,EATING ESTABLISHMENT,31
M1V 0C4,HOLISTIC CENTRE,2
M1V 0C4,PERSONAL SERVICES SETTINGS,1
M1V 0C4,RETAIL STORE (FOOD),18
M1V 0C5,EATING ESTABLISHMENT,6
M1V 0C5,HOLISTIC CENTRE,1
M1V 0C6,EATING ESTABLISHMENT,4
M1V 0C6,HOLISTIC CENTRE,2
M1V 0C6,PERSONAL SERVICES SETTINGS,2
M1V 0C6,RETAIL STORE (FOOD),5
M1V 0C7,PERSONAL SERVICES SETTINGS,2
M1V 0C7,RETAIL STORE (FOOD),21
M1V 0C7,SECOND HAND SHOP,1
M1V 0C8,PERSONAL SERVICES SETTINGS,4
M1V 0C8,RETAIL STORE (FOOD),10
M1V 0C8,VAPOUR PRODUCT RETAILER,1
M1V 0C9,EATING ESTABLISHMENT,25
M1V 0C9,HOLISTIC CENTRE,6
M1V 0C9,PERSONAL SERVICES SETTINGS,5
M1V 0C9,RETAIL STORE (FOOD),7
M1V 0E3,EATING ESTABLISHMENT,11
M1V 0E3,HOLISTIC CENTRE,2
M1V 0E3,RETAIL STORE (FOOD),1
M1V 0E7,BUILDING RENOVATOR,1
M1V 0G2,COMMERCIAL PARKING LOT,1
M1V 0G3,EATING ESTABLISHMENT,8
M1V 0G5,EATING ESTABLISHMENT,1
M1V 0G5,PERSONAL SERVICES SETTINGS,1
M1V 0G5,RETAIL STORE (FOOD),4
M1V 1A1,BUILDING RENOVATOR,1
M1V 1A6,BUILDING RENOVATOR,1
M1V 1C7,PLUMBING CONTRACTOR,2
M1V 1E7,BUILDING RENOVATOR,1
M1V 1E7,DRIVING SCHOOL OPERATOR (B),1
M1V 1E8,BUILDING RENOVATOR,2
M1V 1G3,BUILDING RENOVATOR,1
M1V 1H6,CLOTHING DROP BOX LOCATION PERMIT,1
M1V 1H9,BUILDING RENOVATOR,1
M1V 1J1,BUILDING RENOVATOR,2
M1V 1K2,PUBLIC GARAGE,5
M1V 1K4,CLOTHING DROP BOX LOCATION PERMIT,1
M1V 1K4,EATING ESTABLISHMENT,5
M1V 1K4,PERSONAL SERVICES SETTINGS,5
M1V 1K4,RETAIL STORE (FOOD),14
M1V 1K4,TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),1
M1V 1K4,TEMPORARY SIGN - MOBILE,2
M1V 1K7,BUILDING RENOVATOR,1
M1V 1L7,DRIVING SCHOOL OPERATOR (B),1
M1V 1M2,DRIVEWAY PAVING CONTRACTOR,1
M1V 1M7,DRIVEWAY PAVING CONTRACTOR,1
M1V 1M9,BUILDING RENOVATOR,1
M1V 1N1,DRIVEWAY PAVING CONTRACTOR,1
M1V 1R1,TAXICAB OWNER,1
M1V 1R2,PRIVATE PARKING ENFORCEMENT AGENCY,1
M1V 1R5,BUILDING RENOVATOR,2
M1V 1S3,PRIVATE PARKING ENFORCEMENT AGENCY,1
M1V 1S4,CLOTHING DROP BOX LOCATION PERMIT,1
M1V 1S6,EATING ESTABLISHMENT,4
M1V 1S8,EATING ESTABLISHMENT,11
M1V 1S9,BUILDING RENOVATOR,3
M1V 1S9,PUBLIC GARAGE,10
M1V 1S9,TAXICAB BROKER,2
M1V 1S9,TAXICAB OWNER,6
M1V 1S9,TOW TRUCK OWNER,2
M1V 1T1,EATING ESTABLISHMENT,10
M1V 1T1,HOLISTIC CENTRE,8
M1V 1T1,PERSONAL SERVICES SETTINGS,3
M1V 1T1,RETAIL STORE (FOOD),14
M1V 1T1,TEMPORARY SIGN - A-FRAME,1
M1V 1T2,CLOTHING DROP BOX LOCATION PERMIT,1
M1V 1T2,RETAIL STORE (FOOD),1
M1V 1V2,CLOTHING DROP BOX LOCATION PERMIT,2
M1V 1V2,EATING ESTABLISHMENT,70
M1V 1V2,LAUNDRY,2
M1V 1V2,PAWN SHOP,1
M1V 1V2,PERSONAL SERVICES SETTINGS,9
M1V 1V2,PLACE OF AMUSEMENT,3
M1V 1V2,PRECIOUS METAL SHOP,1
M1V 1V2,RETAIL STORE (FOOD),51
M1V 1V2,SECOND HAND SHOP,3
M1V 1V2,SMOKE SHOP,1
M1V 1V2,TEMPORARY SIGN - MOBILE,4
M1V 1V2,THEATRE,3
M1V 1V3,EATING ESTABLISHMENT,12
M1V 1V3,RETAIL STORE (FOOD),12
M1V 1V3,TEMPORARY SIGN - MOBILE,1
M1V 1V5,TAXICAB OWNER,1
M1V 1V8,TAXICAB OWNER,1
M1V 1V9,BUILDING RENOVATOR,1
M1V 1Y1,BUILDING RENOVATOR,1
M1V 1Z4,BUILDING RENOVATOR,1
M1V 1Z5,EATING ESTABLISHMENT,1
M1V 1Z6,EATING ESTABLISHMENT,13
M1V 1Z6,HOLISTIC CENTRE,1
M1V 1Z6,PERSONAL SERVICES SETTINGS,7
M1V 1Z6,RETAIL STORE (FOOD),14
M1V 1Z6,SECOND HAND SHOP,1
M1V 2B8,MOBILE VENDING (FOOD TRUCK),1
M1V 2B8,MOTORIZED REFRESHMENT VEHICLE OWNER,1
M1V 2B9,BUILDING RENOVATOR,1
M1V 2C3,BUILDING RENOVATOR,1
M1V 2E9,TOW TRUCK OWNER,14
M1V 2H2,BUILDING RENOVATOR,1
M1V 2H4,BUILDING RENOVATOR,1
M1V 2H4,DRIVEWAY PAVING CONTRACTOR,1
M1V 2H8,BUILDING RENOVATOR,1
M1V 2J7,HOLISTIC CENTRE,1
M1V 2J7,PERSONAL SERVICES SETTINGS,1
M1V 2J7,RETAIL STORE (FOOD),5
M1V 2J7,TEMPORARY SIGN - MOBILE,1
M1V 2J8,HEATING CONTRACTOR,1
M1V 2J8,HOLISTIC CENTRE,1
M1V 2J8,PERSONAL SERVICES SETTINGS,1
M1V 2J9,RETAIL STORE (FOOD),4
M1V 2K1,EATING ESTABLISHMENT,8
M1V 2K1,HOLISTIC CENTRE,2
M1V 2L3,COMMERCIAL PARKING LOT,1
M1V 2L3,DRIVING SCHOOL OPERATOR (B),2
M1V 2L4,PLUMBING CONTRACTOR,2
M1V 2M1,TOW TRUCK OWNER,1
M1V 2N3,RETAIL STORE (FOOD),1
M1V 2N4,DRIVEWAY PAVING CONTRACTOR,1
M1V 2R4,TEMPORARY SIGN - MOBILE,2
M1V 2T1,BUILDING RENOVATOR,1
M1V 2T7,BUILDING RENOVATOR,1
M1V 2T9,LAUNDRY,1
M1V 2T9,TEMPORARY SIGN - MOBILE,1
M1V 2V4,HOLISTIC CENTRE,4
M1V 2W7,EATING ESTABLISHMENT,1
M1V 2W7,LAUNDRY,1
M1V 2W7,PERSONAL SERVICES SETTINGS,1
M1V 2W7,RETAIL STORE (FOOD),14
M1V 2Y5,BUILDING RENOVATOR,1
M1V 2Y8,BUILDING RENOVATOR,2
M1V 2Z6,BUILDING RENOVATOR,1
M1V 3A3,BUILDING RENOVATOR,1
M1V 3A3,DRIVEWAY PAVING CONTRACTOR,1
M1V 3A6,BUILDING RENOVATOR,1
M1V 3B5,BUILDING RENOVATOR,1
M1V 3B6,BUILDING RENOVATOR,2
M1V 3C4,BUILDING RENOVATOR,2
M1V 3C6,BUILDING RENOVATOR,1
M1V 3G3,BUILDING RENOVATOR,1
M1V 3H3,RETAIL STORE (FOOD),1
M1V 3H4,BUILDING RENOVATOR,1
M1V 3H8,BUILDING RENOVATOR,1
M1V 3J5,BUILDING RENOVATOR,1
M1V 3J7,BUILDING RENOVATOR,1
M1V 3J8,BUILDING RENOVATOR,2
M1V 3K1,BUILDING RENOVATOR,2
M1V 3K3,BUILDING RENOVATOR,1
M1V 3K4,BUILDING RENOVATOR,1
M1V 3L3,PUBLIC GARAGE,4
M1V 3L3,RETAIL STORE (FOOD),1
M1V 3L4,PUBLIC GARAGE,5
M1V 3L4,RETAIL STORE (FOOD),3
M1V 3L6,BUILDING RENOVATOR,1
M1V 3N2,BUILDING RENOVATOR,1
M1V 3N6,TOW TRUCK OWNER,1
M1V 3P1,TAXICAB OWNER,1
M1V 3S1,BUILDING RENOVATOR,1
M1V 3S1,EATING ESTABLISHMENT,4
M1V 3S1,HOLISTIC CENTRE,2
M1V 3S1,PERSONAL SERVICES SETTINGS,1
M1V 3S1,PUBLIC HALL,2
M1V 3S1,RETAIL STORE (FOOD),3
M1V 3S2,PLUMBING & HEATING CONTRACTOR,1
M1V 3S8,EATING ESTABLISHMENT,11
M1V 3S8,PERSONAL SERVICES SETTINGS,5
M1V 3S8,RETAIL STORE (FOOD),4
M1V 3Y2,BUILDING RENOVATOR,1
M1V 3Y6,PUBLIC GARAGE,4
M1V 3Y6,TOW TRUCK OWNER,2
M1V 3Z3,EATING ESTABLISHMENT,14
M1V 3Z3,PERSONAL SERVICES SETTINGS,1
M1V 3Z3,RETAIL STORE (FOOD),3
M1V 3Z4,EATING ESTABLISHMENT,14
M1V 3Z4,PERSONAL SERVICES SETTINGS,3
M1V 3Z4,RETAIL STORE (FOOD),12
M1V 3Z6,EATING ESTABLISHMENT,5
M1V 3Z6,PERSONAL SERVICES SETTINGS,3
M1V 3Z6,RETAIL STORE (FOOD),6
M1V 3Z7,EATING ESTABLISHMENT,9
M1V 3Z7,HOLISTIC CENTRE,5
M1V 3Z7,PERSONAL SERVICES SETTINGS,2
M1V 3Z7,RETAIL STORE (FOOD),1
M1V 3Z9,EATING ESTABLISHMENT,21
M1V 3Z9,HOLISTIC CENTRE,1
M1V 3Z9,PERSONAL SERVICES SETTINGS,7
M1V 3Z9,RETAIL STORE (FOOD),10
M1V 4A1,EATING ESTABLISHMENT,14
M1V 4A1,PLACE OF AMUSEMENT,1
M1V 4A1,RETAIL STORE (FOOD),2
M1V 4A2,EATING ESTABLISHMENT,5
M1V 4A2,PERSONAL SERVICES SETTINGS,4
M1V 4A2,RETAIL STORE (FOOD),7
M1V 4A2,SECOND HAND SHOP,1
M1V 4A4,PUBLIC GARAGE,1
M1V 4A5,PUBLIC GARAGE,11
M1V 4A5,TOW TRUCK OWNER,1
M1V 4A6,PUBLIC GARAGE,5
M1V 4A7,PUBLIC GARAGE,24
M1V 4A8,PUBLIC GARAGE,3
M1V 4A9,PUBLIC GARAGE,1
M1V 4B5,PUBLIC GARAGE,2
M1V 4C2,BUILDING RENOVATOR,1
M1V 4C4,HOLISTIC CENTRE,3
M1V 4C7,DRIVE-SELF RENTAL OWNER,2
M1V 4C7,RETAIL STORE (FOOD),4
M1V 4G2,PLUMBING CONTRACTOR,1
M1V 4G4,DRIVEWAY PAVING CONTRACTOR,1
M1V 4H5,BUILDING RENOVATOR,1
M1V 4H6,BUILDING RENOVATOR,1
M1V 4J9,BUILDING RENOVATOR,2
M1V 4K8,BUILDING RENOVATOR,1
M1V 4M6,BUILDING RENOVATOR,1
M1V 4N3,BUILDING RENOVATOR,1
M1V 4P1,EATING ESTABLISHMENT,8
M1V 4P1,RETAIL STORE (FOOD),7
M1V 4P2,EATING ESTABLISHMENT,4
M1V 4P2,PERSONAL SERVICES SETTINGS,1
M1V 4P2,RETAIL STORE (FOOD),3
M1V 4P3,CARNIVAL,1
M1V 4P3,EATING ESTABLISHMENT,6
M1V 4P3,RETAIL STORE (FOOD),3
M1V 4P3,SECOND HAND SHOP,1
M1V 4R8,BUILDING RENOVATOR,1
M1V 4S3,EATING ESTABLISHMENT,3
M1V 4S3,PUBLIC GARAGE,5
M1V 4S4,PUBLIC GARAGE,9
M1V 4S4,RETAIL STORE (FOOD),1
M1V 4S5,BUILDING RENOVATOR,1
M1V 4S5,CLOTHING DROP BOX LOCATION PERMIT,2
M1V 4S5,DRIVE-SELF RENTAL OWNER,1
M1V 4S5,EATING ESTABLISHMENT,48
M1V 4S5,HOLISTIC CENTRE,4
M1V 4S5,LAUNDRY,1
M1V 4S5,PAWN SHOP,1
M1V 4S5,PERSONAL SERVICES SETTINGS,46
M1V 4S5,PET SHOP,4
M1V 4S5,PUBLIC GARAGE,1
M1V 4S5,RETAIL STORE (FOOD),38
M1V 4S5,SECOND HAND SHOP,2
M1V 4S5,TEMPORARY SIGN - MOBILE,1
M1V 4S6,PERSONAL SERVICES SETTINGS,1
M1V 4S6,RETAIL STORE (FOOD),1
M1V 4S7,EATING ESTABLISHMENT,5
M1V 4S8,PERSONAL SERVICES SETTINGS,2
M1V 4S9,BUILDING RENOVATOR,2
M1V 4S9,DRIVEWAY PAVING CONTRACTOR,2
M1V 4S9,HEATING CONTRACTOR,1
M1V 4T1,BUILDING RENOVATOR,3
M1V 4T6,BUILDING RENOVATOR,1
M1V 4V1,BUILDING RENOVATOR,1
M1V 4V3,CLOTHING DROP BOX LOCATION PERMIT,1
M1V 4V3,EATING ESTABLISHMENT,14
M1V 4V3,HOLISTIC CENTRE,1
M1V 4V3,PERSONAL SERVICES SETTINGS,5
M1V 4V3,PLACE OF AMUSEMENT,1
M1V 4V3,RETAIL STORE (FOOD),1
M1V 4V3,TEMPORARY SIGN - MOBILE,2
M1V 4V4,EATING ESTABLISHMENT,1
M1V 4V4,PERSONAL SERVICES SETTINGS,1
M1V 4V5,BUILDING RENOVATOR,1
M1V 4V6,HEATING CONTRACTOR,1
M1V 4V7,PUBLIC GARAGE,5
M1V 4V9,PUBLIC GARAGE,15
M1V 4V9,RETAIL STORE (FOOD),3
M1V 4W1,PUBLIC GARAGE,1
M1V 4W1,RETAIL STORE (FOOD),2
M1V 4W2,BODY RUB PARLOUR,3
M1V 4W2,PUBLIC GARAGE,3
M1V 4W3,PUBLIC GARAGE,12
M1V 4W3,RETAIL STORE (FOOD),1
M1V 4W5,RETAIL STORE (FOOD),1
M1V 4W6,EATING ESTABLISHMENT,6
M1V 4W6,PERSONAL SERVICES SETTINGS,2
M1V 4W8,BILLIARD HALL,2
M1V 4W8,EATING ESTABLISHMENT,26
M1V 4W8,PERSONAL SERVICES SETTINGS,5
M1V 4W8,PET SHOP,2
M1V 4W8,RETAIL STORE (FOOD),7
M1V 4W9,EATING ESTABLISHMENT,24
M1V 4W9,HOLISTIC CENTRE,1
M1V 4W9,RETAIL STORE (FOOD),15
M1V 4X1,HOLISTIC CENTRE,5
M1V 4X1,RETAIL STORE (FOOD),3
M1V 4X1,TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),1
M1V 4X7,CLOTHING DROP BOX LOCATION PERMIT,1
